"name","place","is_mped","x","y","coord.x","coord.y"
"Nógrádszakál","village",0,19.52660,48.18043,19.52660,48.18043
"Berzék","village",0,20.95731,48.02448,20.95731,48.02448
"Nádasdladány","village",0,18.23987,47.13777,18.23987,47.13777
"Balatonfüred","town",1,17.88889,46.95673,17.88889,46.95673
"Balatongyörök","village",0,17.35049,46.76162,17.35049,46.76162
"Csapi","village",0,17.08648,46.53214,17.08648,46.53214
"Vát","village",0,16.77583,47.28299,16.77583,47.28299
"Tornaszentandrás","village",0,20.77575,48.52026,20.77575,48.52026
"Fancsal","village",0,21.06403,48.35560,21.06403,48.35560
"Apc","village",0,19.69163,47.79635,19.69163,47.79635
"Rád","village",0,19.21943,47.79208,19.21943,47.79208
"Jákfalva","village",0,20.57014,48.33279,20.57014,48.33279
"Környe","village",0,18.33185,47.54758,18.33185,47.54758
"Ricse","village",0,21.96933,48.32517,21.96933,48.32517
"Hollád","village",0,17.30841,46.63982,17.30841,46.63982
